"name","height","mass","hair_color","skin_color","eye_color","birth_year","sex","gender","homeworld","species","films","vehicles","starships"
"Luke Skywalker","172","77","blond","fair","blue","19","male","masculine","Tatooine","Human","c(""The Empire Strikes Back"", ""Revenge of the Sith"", ""Return of the Jedi"", ""A New Hope"", ""The Force Awakens"")","c(""Snowspeeder"", ""Imperial Speeder Bike"")","c(""X-wing"", ""Imperial shuttle"")"
"C-3PO","167","75",NA,"gold","yellow","112","none","masculine","Tatooine","Droid","c(""The Empire Strikes Back"", ""Attack of the Clones"", ""The Phantom Menace"", ""Revenge of the Sith"", ""Return of the Jedi"", ""A New Hope"")","character(0)","character(0)"
"R2-D2","96","32",NA,"white, blue","red","33","none","masculine","Naboo","Droid","c(""The Empire Strikes Back"", ""Attack of the Clones"", ""The Phantom Menace"", ""Revenge of the Sith"", ""Return of the Jedi"", ""A New Hope"", ""The Force Awakens"")","character(0)","character(0)"
"Darth Vader","202","136","none","white","yellow","41.9","male","masculine","Tatooine","Human","c(""The Empire Strikes Back"", ""Revenge of the Sith"", ""Return of the Jedi"", ""A New Hope"")","character(0)","TIE Advanced x1"
"Leia Organa","150","49","brown","light","brown","19","female","feminine","Alderaan","Human","c(""The Empire Strikes Back"", ""Revenge of the Sith"", ""Return of the Jedi"", ""A New Hope"", ""The Force Awakens"")","Imperial Speeder Bike","character(0)"
"Owen Lars","178","120","brown, grey","light","blue","52","male","masculine","Tatooine","Human","c(""Attack of the Clones"", ""Revenge of the Sith"", ""A New Hope"")","character(0)","character(0)"
"Beru Whitesun lars","165","75","brown","light","blue","47","female","feminine","Tatooine","Human","c(""Attack of the Clones"", ""Revenge of the Sith"", ""A New Hope"")","character(0)","character(0)"
"R5-D4","97","32",NA,"white, red","red","NA","none","masculine","Tatooine","Droid","A New Hope","character(0)","character(0)"
"Biggs Darklighter","183","84","black","light","brown","24","male","masculine","Tatooine","Human","A New Hope","character(0)","X-wing"
"Obi-Wan Kenobi","182","77","auburn, white","fair","blue-gray","57","male","masculine","Stewjon","Human","c(""The Empire Strikes Back"", ""Attack of the Clones"", ""The Phantom Menace"", ""Revenge of the Sith"", ""Return of the Jedi"", ""A New Hope"")","Tribubble bongo","c(""Jedi starfighter"", ""Trade Federation cruiser"", ""Naboo star skiff"", ""Jedi Interceptor"", ""Belbullab-22 starfighter"")"
"Anakin Skywalker","188","84","blond","fair","blue","41.9","male","masculine","Tatooine","Human","c(""Attack of the Clones"", ""The Phantom Menace"", ""Revenge of the Sith"")","c(""Zephyr-G swoop bike"", ""XJ-6 airspeeder"")","c(""Trade Federation cruiser"", ""Jedi Interceptor"", ""Naboo fighter"")"
"Wilhuff Tarkin","180","NA","auburn, grey","fair","blue","64","male","masculine","Eriadu","Human","c(""Revenge of the Sith"", ""A New Hope"")","character(0)","character(0)"
