Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
04/23/2021,526,6,50,92,129,97,82,62,39,15,10,0,288,237,1,115,28,177,85,22,99,0,0,1,0,3,0,2,0,0,2,4,0,1,2,3,0,0,0,2,4,9,6,6,10,8,5,0,25,25,0,12,0,31,3,1,3
10/10/2020,443,5,44,40,115,108,67,59,35,9,10,0,230,212,1,147,10,50,116,19,101,0,0,0,0,1,2,1,1,0,3,2,0,0,1,2,2,0,0,0,3,3,4,8,5,11,10,0,18,26,0,12,0,14,13,2,3
07/25/2020,156,8,22,29,34,33,25,16,7,9,3,0,79,77,0,59,7,32,32,8,18,0,0,0,1,1,3,1,2,0,4,4,0,2,0,3,3,0,0,0,0,3,5,2,6,3,3,0,12,10,0,3,0,11,5,1,2
03/12/2021,347,8,16,52,92,78,49,46,18,6,6,0,199,148,0,86,14,64,99,21,63,0,0,1,1,2,1,1,2,0,3,5,0,2,0,5,1,0,0,1,3,0,3,3,3,2,1,0,10,6,0,4,0,8,3,1,0
06/24/2021,43,0,9,7,13,10,7,4,0,1,1,0,23,20,0,6,2,17,11,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,2,0,0,0,0,3,6,0,1,1,3,3,1,0
04/30/2020,1271,40,168,57,230,221,227,188,150,96,102,0,619,628,24,546,23,213,145,49,295,0,0,3,0,4,8,11,14,0,17,23,0,13,1,18,8,0,0,1,11,15,13,33,40,26,29,0,75,92,1,59,8,55,31,11,4
06/15/2020,235,20,32,36,57,42,34,30,25,9,2,0,131,102,2,101,5,51,22,9,47,0,0,0,1,1,2,5,11,0,9,11,0,5,2,4,8,0,1,4,6,3,2,5,8,0,4,0,21,11,0,12,1,11,7,0,1
06/30/2021,46,0,1,9,11,9,9,3,3,2,0,0,20,25,1,5,2,8,15,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
07/12/2020,97,4,17,7,33,15,19,11,3,7,2,0,52,45,0,27,4,25,20,4,17,0,0,0,0,0,2,0,2,0,2,2,0,0,0,1,3,0,0,1,3,0,2,2,2,6,1,0,7,10,0,5,2,8,1,0,1
06/30/2020,265,3,29,25,92,59,39,24,15,5,6,0,135,129,1,107,3,53,51,3,48,0,0,0,0,0,1,2,0,0,2,1,0,1,0,1,1,0,0,2,4,3,3,4,6,2,5,0,15,14,0,11,1,10,5,0,2
05/18/2021,282,6,35,68,61,47,36,35,19,8,8,0,161,121,0,53,4,113,46,6,60,0,0,0,0,2,1,3,0,0,4,2,0,3,0,2,1,0,0,2,2,6,4,5,10,2,4,0,17,18,0,5,1,23,3,0,3
04/30/2021,543,7,50,125,112,101,65,61,49,20,10,0,307,236,0,113,14,214,74,14,114,0,0,0,1,0,2,1,3,0,3,4,0,2,0,2,3,0,0,1,5,4,5,9,8,11,7,0,26,24,0,5,1,30,12,1,1
03/13/2021,252,2,18,28,63,60,43,31,20,4,3,0,128,123,1,62,3,47,83,26,31,0,0,0,0,0,0,1,1,0,0,2,0,1,0,0,1,0,0,0,1,1,2,5,4,5,0,0,11,7,0,2,0,10,4,1,1
11/17/2020,2464,21,156,266,585,493,390,344,227,104,55,0,1272,1181,11,855,68,357,447,113,624,0,0,0,0,4,10,3,4,0,7,14,0,10,1,6,4,0,0,3,9,15,14,20,41,35,19,0,75,81,0,49,6,61,23,5,12
08/25/2020,413,4,32,52,121,75,69,50,27,9,9,1,224,185,4,181,7,61,90,18,56,0,0,0,0,0,0,0,4,0,1,3,0,0,1,2,1,0,0,0,4,4,3,9,6,4,2,0,15,17,0,8,0,12,8,3,1
06/18/2021,35,2,8,2,10,6,6,6,2,1,2,0,19,16,0,6,2,17,9,1,0,0,0,0,0,0,1,1,0,0,0,2,0,1,0,0,1,0,0,0,1,1,1,4,1,0,0,0,4,4,0,3,0,4,1,0,0
03/09/2020,5,0,3,3,0,0,0,0,0,1,1,0,3,2,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,2,0,1,0,0,1,1,0
06/14/2020,92,12,27,6,22,18,20,14,6,2,4,0,44,48,0,29,1,24,5,5,28,0,0,0,1,1,3,2,5,0,6,6,0,5,0,3,4,0,0,2,4,1,6,3,5,3,3,0,11,16,0,12,1,9,1,2,2
03/22/2020,168,2,73,6,23,27,31,37,24,14,6,0,74,94,0,22,6,82,50,5,3,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,1,0,0,6,8,13,14,13,14,5,0,36,37,0,12,4,47,6,3,1
04/20/2021,558,5,53,87,168,118,76,66,17,14,12,0,321,236,1,115,18,186,96,24,119,0,0,0,0,1,2,1,1,0,1,4,0,0,2,2,1,0,0,2,3,13,7,10,8,6,4,0,29,24,0,15,1,27,7,1,2
06/21/2020,48,11,18,4,16,11,3,7,2,4,1,0,29,19,0,16,1,11,6,4,10,0,0,1,0,1,3,3,3,0,6,5,0,4,0,3,4,0,0,1,2,2,1,3,3,5,1,0,13,5,0,8,0,7,2,1,0
