Date,Cases Rate - Total,Deaths Rate - Total,Hospitalizations Rate - Total,Cases Rate - Age 0-17,Cases Rate - Age 18-29,Cases Rate - Age 30-39,Cases Rate - Age 40-49,Cases Rate - Age 50-59,Cases Rate - Age 60-69,Cases Rate - Age 70-79,Cases Rate -  Age 80+,Cases Rate - Female,Cases Rate - Male,Cases Rate - Latinx,Cases Rate - Asian Non-Latinx,Cases Rate - Black Non-Latinx,Cases Rate - White Non-Latinx,Cases Rate - Other Race Non-Latinx,Deaths Rate - Age 0-17,Deaths Rate - Age 18-29,Deaths Rate - Age 30-39,Deaths Rate - Age 40-49,Deaths Rate - Age 50-59,Deaths Rate - Age 60-69,Deaths Rate - Age 70-79,Deaths Rate - Age 80+,Deaths Rate - Female,Deaths Rate - Male,Deaths Rate - Latinx,Deaths Rate - Asian Non-Latinx,Deaths Rate - Black Non-Latinx,Deaths Rate - White Non-Latinx,Deaths Rate - Other Race Non-Latinx,Hospitalizations Rate -  Age 0-17,Hospitalizations Rate -  Age 18-29,Hospitalizations Rate -  Age 30-39,Hospitalizations Rate -  Age 40-49,Hospitalizations Rate -  Age 50-59,Hospitalizations Rate -  Age 60-69,Hospitalizations Rate -  Age 70-79,Hospitalizations Rate -  Age 80+,Hospitalizations Rate -  Female,Hospitalizations Rate -  Male,Hospitalizations Rate -  Latinx,Hospitalizations Rate -  Asian Non-Latinx,Hospitalizations Rate -  Black Non-Latinx,Hospitalizations Rate -  White Non-Latinx,Hospitalizations Rate -  Other Race Non-Latinx,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Female,Cases - Male,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Female,Deaths - Male,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx
07/13/2021,2.7,0,0.2,2.2,3.3,4.2,2.5,2,1.3,2.2,0.5,2.7,2.6,1.6,1.1,2.5,1.9,2.2,0,0,0,0.1,0,0.1,0,0.5,0.1,0,0.1,0.1,0.1,0,0,0.1,0.1,0.3,0.3,0,0.1,0.7,0.4,0.2,0.2,0.1,0.1,0.4,0.1,0,71.7,1,5,12,18.4,19.3,8.4,6.3,3.4,3.4,0.4,37.7,33.7,12.4,2,19.9,16.9,2.6,0,0,0,0.3,0.1,0.1,0,0.4,0.7,0.3,0.4,0.1,0.4,0,0,0.4,0.7,1.1,0.9,0.1,0.3,1.1,0.3,2.9,2.1,0.7,0.1,3,0.7,0
03/17/2020,1.6,0,0.6,0,1.4,2.2,2.6,2.5,2.4,1.3,1.6,1.3,2,0.6,1.4,1.8,2.3,0.5,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.8,1,1.5,1.5,1.8,0.4,0.7,0.3,0.2,1.1,0.4,0,44.4,0.3,15.6,0.1,7.9,10.1,8.9,7.9,6.3,2,1.3,17.6,26.9,4.4,2.4,14.1,20.3,0.6,0,0,0,0,0.1,0.1,0,0,0.1,0.1,0,0,0.3,0,0,0,1,1,2.7,3.1,4,2.3,1.4,6,9.6,2.4,0.4,9,3.7,0
03/18/2020,2.4,0,0.7,0.1,2.1,3.2,4.2,3.4,3.3,2.3,2.5,2.1,2.8,0.9,2,2.9,3.1,0.8,0,0,0,0,0,0.1,0,0.2,0,0,0,0,0.1,0,0,0,0.2,0.3,0.9,1.2,1.9,2.3,2.9,0.5,1,0.4,0.5,1.5,0.5,0,65.7,0.4,20,0.4,11.7,14.6,14.1,10.7,8.6,3.6,2,28.4,37.3,7,3.6,22.6,28.3,1,0,0,0,0,0.1,0.1,0,0.1,0.3,0.1,0,0,0.4,0,0,0,1,1.1,3.1,3.9,5,3.6,2.3,7.1,12.9,3,0.9,11.6,4.4,0
03/19/2020,3.3,0,0.9,0.2,2.8,4.5,5.6,4.4,4.1,3.8,2.9,2.9,3.7,1.2,2.8,4.3,3.9,1.7,0,0,0,0,0,0.1,0.1,0.4,0,0,0,0,0.1,0,0,0,0.2,0.3,1.2,1.6,2,3.1,3.2,0.6,1.2,0.5,0.5,1.8,0.6,0.1,88.9,0.7,24.3,1.1,15.7,20.6,18.9,13.7,10.7,5.9,2.3,39.9,49,9.6,5,33.6,35.1,2,0,0,0,0,0.1,0.1,0.1,0.3,0.4,0.3,0,0,0.6,0.1,0,0,1.1,1.3,4.1,5,5.3,4.9,2.6,9,15.3,3.6,0.9,14.4,5.1,0.1
07/14/2021,3,0,0.2,2.3,4,4.8,2.6,2.4,1.6,2.2,0.7,3,3,1.5,1.1,3.1,2.2,2.5,0,0,0,0,0.1,0.1,0.1,0.4,0.1,0,0,0.1,0.1,0,0,0.1,0.1,0.3,0.2,0.1,0.1,0.6,0.4,0.2,0.2,0.1,0.1,0.3,0.1,0.1,81.1,1,4.9,12.9,21.9,21.9,8.9,7.6,4.1,3.4,0.6,41.1,39.7,11.4,2,24.6,20,3,0,0,0,0.1,0.3,0.1,0.1,0.3,0.9,0.1,0.1,0.1,0.6,0.1,0,0.4,0.7,1.1,0.7,0.4,0.1,1,0.3,2.6,2.3,0.7,0.1,2.6,0.9,0.1
07/15/2021,3.3,0,0.2,2.4,4.5,5.3,3.3,2.6,1.8,2.2,0.7,3.3,3.3,1.5,1.4,3.6,2.5,2.4,0,0,0,0,0.1,0.1,0.1,0.4,0.1,0,0,0.1,0.1,0,0,0.1,0.1,0.2,0.2,0.2,0.1,0.8,0.4,0.2,0.2,0.1,0.1,0.3,0.1,0.1,90.1,1,4.8,13,25,24,11.1,8.1,4.9,3.4,0.6,46.3,43.6,12,2.6,28.3,22.6,2.9,0,0,0,0.1,0.3,0.1,0.1,0.3,0.9,0.1,0.1,0.1,0.6,0.1,0,0.3,0.7,0.8,0.8,0.5,0.2,1.2,0.3,2.5,2.3,0.8,0.2,2.3,1,0.2
05/02/2020,38.1,1.7,5.9,8.2,35.3,40.3,58.8,56.9,44.2,38.5,70,36.4,38.4,59.1,10.6,22.4,11.2,39.5,0,0.1,0.1,0.6,1.4,3.5,6.8,22,1.3,2,1.7,1.3,2.5,1.1,0.1,0.2,2,2.6,6,10.1,12.1,16.7,33.8,5.3,6.6,7.3,2.4,7.3,3.2,8.5,1032.3,44.9,160.1,45.3,195.1,183.9,197.9,178.1,116.1,59.9,56,505,507.1,458.9,19,175.9,100.9,47.1,0,0.4,0.6,2,4.4,9.3,10.6,17.6,18.3,26.6,13,2.3,19.7,9.6,0.1,0.9,11,11.7,20.1,31.6,31.9,26,27,73,87,56.9,4.3,57.3,29.1,10.1
05/03/2020,38.3,1.6,5.9,8.2,35.7,41,58,57.6,44.8,38.4,69.1,36.3,38.9,60,9.8,22.9,10.9,39.3,0,0.1,0.1,0.5,1.5,3.5,7,20.9,1.3,2,1.7,1.1,2.4,1.1,0.1,0.2,2,2.9,5.8,10.3,11.8,16.9,33.6,5.3,6.6,7.4,2.3,7.4,3.1,8.8,1037.1,44,160.9,45,197.1,187.1,195,180.1,117.7,59.7,55.3,502.6,513.3,465.9,17.6,179.6,98,47,0,0.3,0.6,1.7,4.6,9.3,10.9,16.7,18,26,13.3,2,18.7,9.7,0.1,1.1,10.9,13.1,19.4,32.1,31,26.3,26.9,73.4,87.3,57.6,4.1,57.9,27.9,10.6
05/04/2020,38.1,1.7,5.7,8.6,35.2,41.7,58.4,56.2,43.9,38.4,64.8,36.1,38.8,60,9.8,22.4,10.7,37.5,0,0.1,0.1,0.5,1.5,3.9,7.1,21.8,1.4,2,1.9,1.2,2.4,1.1,0.1,0.2,2,2.8,5.6,9.1,11.2,17.9,30.5,5,6.4,7.1,2.5,7,2.9,8.6,1031.7,45.9,154.3,47.1,194.9,190.3,196.6,175.9,115.4,59.7,51.9,499.9,511.9,466,17.7,175.3,96.6,44.9,0,0.4,0.6,1.6,4.7,10.1,11,17.4,19.7,26.1,14.6,2.1,18.9,10,0.1,1.1,10.9,12.9,19,28.6,29.6,27.9,24.4,69.6,84.6,55.1,4.6,54.6,26.4,10.3
05/06/2020,35.9,1.7,5.4,8.2,33.7,38.7,56.7,52.9,40.9,35.9,56.6,34.7,35.6,57.5,9.5,20.4,10.1,32.6,0,0.1,0.2,0.3,1.3,4.2,7.8,20.5,1.4,2,1.9,1.4,2.3,1.1,0.1,0.2,1.8,2.6,5.4,8.8,11.5,17.5,26.4,4.8,6.1,6.7,2.4,6.8,2.6,8.8,972.7,46.1,147.3,45.1,186.3,176.6,190.7,165.4,107.6,55.7,45.3,480.6,470,446.7,17,160,90.6,39,0,0.4,0.7,1.1,4.1,11.1,12.1,16.4,19.3,26.9,14.7,2.4,18.3,10.3,0.1,1.3,9.7,12,18.3,27.6,30.1,27.1,21.1,66.7,80.4,52.3,4.3,53.6,23.7,10.6
