Date,Total Doses - Daily,Total Doses - Cumulative,1st Dose - Daily,1st Dose - Cumulative,2nd Dose - Daily,2nd Dose - Cumulative,Total Doses - Daily - Chicago Resident,Total Doses - Cumulative - Chicago Resident,Total Doses - Daily - Non-Chicago Resident,Total Doses - Cumulative - Non-Chicago Resident,Total Doses - Daily - Unknown Residency,Total Doses - Cumulative - Unknown Residency,1st Dose - Daily - Chicago Resident,1st Dose - Cumulative  - Chicago Resident,1st Dose - Daily - Non-Chicago Resident,1st Dose - Cumulative  - Non-Chicago Resident,1st Dose - Daily - Unknown Residency,1st Dose - Cumulative - Unknown Residency,2nd Dose - Daily - Chicago Resident,2nd Dose - Cumulative  - Chicago Resident,2nd Dose - Daily - Non-Chicago Resident,2nd Dose - Cumulative  - Non-Chicago Resident,2nd Dose - Daily - Unknown Residency,2nd Dose - Cumulative- Unknown Residency
12/15/2020,14,14,14,14,0,0,10,10,4,4,0,0,10,10,4,4,0,0,0,0,0,0,0,0
07/16/2021,4371,2981457,2218,1633120,2153,1348337,3737,2172016,564,788255,70,21186,1848,1174782,319,445415,51,12923,1889,997234,245,342840,19,8263
12/16/2020,126,140,126,140,0,0,72,82,53,57,1,1,72,82,53,57,1,1,0,0,0,0,0,0
12/17/2020,1496,1636,1496,1636,0,0,955,1037,538,595,3,4,955,1037,538,595,3,4,0,0,0,0,0,0
07/17/2021,2999,2984456,1732,1634852,1267,1349604,2431,2174447,462,788717,106,21292,1386,1176168,269,445684,77,13000,1045,998279,193,343033,29,8292
07/18/2021,424,2984880,241,1635093,183,1349787,319,2174766,84,788801,21,21313,167,1176335,62,445746,12,13012,152,998431,22,343055,9,8301
12/18/2020,5596,7232,5596,7232,0,0,3575,4612,1924,2519,97,101,3575,4612,1924,2519,97,101,0,0,0,0,0,0
12/19/2020,2868,10100,2868,10100,0,0,1769,6381,1010,3529,89,190,1769,6381,1010,3529,89,190,0,0,0,0,0,0
12/20/2020,768,10868,768,10868,0,0,366,6747,400,3929,2,192,366,6747,400,3929,2,192,0,0,0,0,0,0
12/21/2020,4603,15471,4603,15471,0,0,3006,9753,1564,5493,33,225,3006,9753,1564,5493,33,225,0,0,0,0,0,0
12/22/2020,4911,20382,4911,20382,0,0,3116,12869,1776,7269,19,244,3116,12869,1776,7269,19,244,0,0,0,0,0,0
12/23/2020,4168,24550,4168,24550,0,0,2444,15313,1694,8963,30,274,2444,15313,1694,8963,30,274,0,0,0,0,0,0
12/24/2020,1370,25920,1370,25920,0,0,790,16103,564,9527,16,290,790,16103,564,9527,16,290,0,0,0,0,0,0
12/25/2020,1,25921,1,25921,0,0,1,16104,0,9527,0,290,1,16104,0,9527,0,290,0,0,0,0,0,0
12/26/2020,597,26518,597,26518,0,0,392,16496,200,9727,5,295,392,16496,200,9727,5,295,0,0,0,0,0,0
12/27/2020,5,26523,5,26523,0,0,2,16498,3,9730,0,295,2,16498,3,9730,0,295,0,0,0,0,0,0
12/28/2020,3479,30002,3479,30002,0,0,2196,18694,1274,11004,9,304,2196,18694,1274,11004,9,304,0,0,0,0,0,0
12/29/2020,5066,35068,5066,35068,0,0,3366,22060,1691,12695,9,313,3366,22060,1691,12695,9,313,0,0,0,0,0,0
12/30/2020,6502,41570,6502,41570,0,0,4144,26204,2320,15015,38,351,4144,26204,2320,15015,38,351,0,0,0,0,0,0
