Season_Year,Team,Place,Wins,Losses,PCT,GB,Attendance
2016,Chicago Cubs,1,103,58,0.64,,"3,232,420"
2015,Chicago Cubs,3,97,65,0.599,3,"2,959,812"
2014,Chicago Cubs,,73,89,0.451,17,"2,652,113"
2013,Chicago Cubs,5,66,96,0.407,31,"2,642,682"
2012,Chicago Cubs,5,61,101,0.377,36,"2,882,756"
2011,Chicago Cubs,5,71,91,0.438,25,"3,017,966"
2010,Chicago Cubs,5,75,87,0.463,16,"3,062,973"
2009,Chicago Cubs,2,83,78,0.516,7.5,"3,168,859"
2008,Chicago Cubs,1,97,64,0.602,,"3,300,200"
2007,Chicago Cubs,1,85,77,0.525,,"3,252,462"
2006,Chicago Cubs,6,66,96,0.407,17.5,"3,123,215"
2005,Chicago Cubs,4,79,83,0.488,21,"3,099,992"
2004,Chicago Cubs,3,89,73,0.549,16,"3,170,154"
2003,Chicago Cubs,1,88,74,0.543,,"2,962,630"
2002,Chicago Cubs,5,67,95,0.414,30,"2,693,096"
2001,Chicago Cubs,3,88,74,0.543,5,"2,779,465"
2000,Chicago Cubs,6,65,97,0.401,30,"2,789,508"
1999,Chicago Cubs,6,67,95,0.414,30,"2,813,854"
1998,Chicago Cubs,2,90,73,0.552,12.5,"2,623,000"
1997,Chicago Cubs,5,68,94,0.42,16,"2,190,308"
1996,Chicago Cubs,4,76,86,0.469,12,"2,219,110"
1995,Chicago Cubs,3,73,71,0.507,12,"1,918,265"
1994,Chicago Cubs,5,49,64,0.434,16.5,"1,845,208"
1993,Chicago Cubs,4,84,78,0.519,13,"2,653,763"
1992,Chicago Cubs,4,78,84,0.481,18,"2,126,720"
1991,Chicago Cubs,4,77,83,0.481,20,"2,314,250"
1990,Chicago Cubs,4,77,85,0.475,18,"2,243,791"
1989,Chicago Cubs,1,93,69,0.574,,"2,491,942"
1988,Chicago Cubs,4,77,85,0.475,24,"2,089,034"
1987,Chicago Cubs,6,76,85,0.472,18.5,"2,035,130"
1986,Chicago Cubs,5,70,90,0.438,37,"1,859,102"
1985,Chicago Cubs,4,77,84,0.478,23.5,"2,161,534"
1984,Chicago Cubs,1,96,65,0.596,,"2,107,655"
1983,Chicago Cubs,5,71,91,0.438,19,"1,479,717"
1982,Chicago Cubs,5,73,89,0.451,19,"1,249,278"
1981,Chicago Cubs,,38,65,0.369,21.5,"565,637"
1980,Chicago Cubs,6,64,98,0.395,27,"1,206,776"
1979,Chicago Cubs,5,80,82,0.494,18,"1,648,587"
1978,Chicago Cubs,3,79,83,0.488,11,"1,525,311"
1977,Chicago Cubs,4,81,81,0.5,20,"1,439,834"
1976,Chicago Cubs,4,75,87,0.463,26,"1,026,217"
1975,Chicago Cubs,5,75,87,0.463,17.5,"1,034,819"
1974,Chicago Cubs,6,66,96,0.407,22,"1,015,378"
1973,Chicago Cubs,5,77,84,0.478,5,"1,351,705"
1972,Chicago Cubs,2,85,70,0.548,11,"1,299,163"
1971,Chicago Cubs,3,83,79,0.512,14,"1,653,007"
1970,Chicago Cubs,2,84,78,0.519,5,"1,642,705"
1969,Chicago Cubs,2,92,70,0.568,8,"1,674,993"
1968,Chicago Cubs,3,84,78,0.519,13,"1,043,409"
1967,Chicago Cubs,3,87,74,0.54,14,"977,226"
1966,Chicago Cubs,10,59,103,0.364,36,"635,891"
1965,Chicago Cubs,8,72,90,0.444,25,"641,361"
1964,Chicago Cubs,8,76,86,0.469,17,"751,647"
1963,Chicago Cubs,7,82,80,0.506,17,"979,551"
1962,Chicago Cubs,9,59,103,0.364,42.5,"609,802"
1961,Chicago Cubs,7,64,90,0.416,29,"673,057"
1960,Chicago Cubs,7,60,94,0.39,35,"809,770"
1959,Chicago Cubs,5,74,80,0.481,13,"858,255"
1958,Chicago Cubs,6,72,82,0.468,20,"979,904"
