Day,Date,Park,Park Phone,Title,CC,Rating,Underwriter,Park Address,Location
Mon,07/08/2019,Chippewa Park,(773) 731-0380,Bee Movie,Y,PG,JCC Chicago,6748 N. Sacramento Ave.,"(42.00438076, -87.70475177)"
Tue,08/06/2019,Lawler Park,(773) 284-7328,Coco,Y,PG,,5210 W. 64th St.,"(41.77611338, -87.75229515)"
Mon,07/08/2019,Calumet Park,(312) 747-6039,The Wizard of Oz,Y,G,,9801 S. Ave G,"(41.71772004, -87.53150812)"
Thu,08/01/2019,Harrison Park,(312) 746-5491,Black Panther,Y,PG-13,,1824 S. Wood St.,"(41.85692162, -87.67122476)"
Thu,07/18/2019,Hoard Playground Park,(773) 256-1903,Black Panther,Y,PG-13,,7201 S. Dobson Ave.,"(41.7640317, -87.59928813)"
Fri,06/07/2019,Berger Park Cultural Center,(773) 761-0376,Some Like It Hot,Y,NR,,6205 N. Sheridan Rd.,"(41.99480562, -87.65538421)"
Sat,07/13/2019,Skinner Park,(312) 746-5560,Big Hero 6,Y,PG,The Museum of Science and Industry,1331 W. Monroe St.,"(41.88015941, -87.66077867)"
Mon,08/12/2019,River Park,(312) 742-7516,Hotel Transylvania 3,Y,PG,,5100 N. Francisco Ave.,"(41.97406838, -87.70144885)"
Wed,07/24/2019,Kilbourn Park,(773) 685-3351,El Reality,Y,NR,The International Latino Cultural Center,3501 N. Kilbourn Ave.,"(41.94450485, -87.73951111)"
Wed,06/12/2019,Union Park,(312) 746-5494,Black Panther,Y,PG-13,,1501 W. Randolph St.,"(41.88471128, -87.66428183)"
Thu,07/25/2019,Wicker Park,(312) 742-7553,The Rainmaker,Y,PG-13,The Wicker Park Bucktown Chamber of Commerce Members and the Wicker Park Advisory Council,1425 N. Damen Avenue,"(41.90795225, -87.67724924)"
Fri,08/23/2019,Shedd Park,(773) 762-3168,The Star,Y,PG,,3660 W. 23rd St.,"(41.84992518, -87.71735905)"
Fri,06/14/2019,Pottawattomie Park,(773) 262-5835,Ghostbusters (1984),Y,PG,,7340 N. Rogers Ave.,"(42.01468225, -87.67838211)"
Sat,06/29/2019,Rowan Park,(773) 646-3180,Aquaman,Y,PG-13,The Forest Preserve District of Cook County,11546 S. Avenue L,"(41.68500208, -87.53661565)"
Fri,08/02/2019,Maplewood Playlot Park,(312) 742-7554,Ralph Breaks the Internet,Y,PG,,1640 N.Maplewood Ave.,"(41.91149995, -87.69106224)"
Wed,08/07/2019,Heritage Green,(312) 746-5494,Smallfoot,Y,PG,The West Loop Community Organization,610-30 W. Adams St.,"(41.87937955, -87.6430924)"
Wed,08/14/2019,Hayes Park,(312) 747-6177,Spider-Man: Into the Spider-Verse,Y,PG,The Forest Preserve District of Cook County,2936 W. 85th St.,"(41.73874188, -87.69676781)"
