Docket Number,Violation Number,Issued Date,Issuing Department,Last Hearing Date,Property Address,Violation Type,Entity or Person(s),Disposition Description,Total Fines,Total Administrative Costs,Interest Amount,Collection Costs or Attorney Fees,Court Cost,Original Total Amount Due,Total Paid,Current Amount Due,X Coordinate,Y Coordinate
11BS02904A,11DR286648,03/31/2011,BLDINGS,05/12/2011 12:00:00 PM,6738 S KOLIN,193110 Insure and secure vacant building. (13-12-125 (a).,"FEDERAL NATIONAL MORTGAGE ASSN NATIONAL PROPERTY DISPOSITION CENTER, ",Not liable - Respondent came into compliance with building code prior to hearing,0,0,0,0,0,0,0,0,41.77009615,-87.73136967
11BS04331A,11N0295731|11N0295731,05/28/2011,BLDINGS,07/12/2011 12:00:00 PM,3563 W MC LEAN,"193105 Register and secure vacant building. (13-12-125 (a)(1), 13-12-125 (b)(1) ).|193110 Insure and secure vacant building. (13-12-125 (a).","US BANK, NA C/O JEANNE ESCOBEDO, TRUST LEGAL DEPARTMENT, ",Not liable - City failed to establish prima facie case,2000,0,10.55,0,0,2050.55,1659.56,-2.62,41.91812686,-87.71583214
11BS04362A,11WO295906|11WO295906,06/01/2011,BLDINGS,09/08/2011 9:00:00 AM,3330 W 58TH,"193105 Register and secure vacant building. (13-12-125 (a)(1), 13-12-125 (b)(1) ).|193110 Insure and secure vacant building. (13-12-125 (a).","DEUTSCHE BK NAT'L TR CO TRUSTEE OF ARGENT MTG SECURITIES INC ASSET-BACKED PASS THRU CERT SERIES 2006-W4, ",City non-suit,1000,0,8.22,0,0,1083.22,1075,0,41.78810385,-87.70610391
11BS04362A,11WO295906|11WO295906,06/01/2011,BLDINGS,09/08/2011 9:00:00 AM,5758 S CHRISTIANA,"193105 Register and secure vacant building. (13-12-125 (a)(1), 13-12-125 (b)(1) ).|193110 Insure and secure vacant building. (13-12-125 (a).","DEUTSCHE BK NAT'L TR CO TRUSTEE OF ARGENT MTG SECURITIES INC ASSET-BACKED PASS THRU CERT SERIES 2006-W4, ",City non-suit,1000,0,8.22,0,0,1083.22,1075,0,41.7881362,-87.70739352
11BS04511A,11DR293344,06/09/2011,BLDINGS,07/21/2011 9:00:00 AM,444 E 89TH,193110 Insure and secure vacant building. (13-12-125 (a).,"DEUTSCHE BANK NAT'L TRUST CO TRUSTEE FOR HSI ASSET SECURITIZATION CORP, ",Not liable - Respondent came into compliance with building code prior to hearing,0,0,0,0,0,0,0,0,41.7320348,-87.61330437
11BS04514A,11DR296244,06/09/2011,BLDINGS,09/15/2011 9:00:00 AM,12928 S ESCANABA,193110 Insure and secure vacant building. (13-12-125 (a).,"GREEN TREE SERVICING, LLC C/O C T CORPORATION SYSTEM, ",City non-suit,0,0,0,0,0,0,0,0,41.66011775,-87.55348629
11BS07178A,11DR300782,10/14/2011,BLDINGS,11/17/2011 9:00:00 AM,4115 W 56TH,193101 Duty to Register Vacant Building ( 13-12-125 (a) ),"THE BANK OF NEW YORK MELLON FKA THE OF NEW YORK, ",Not liable - Respondent came into compliance with building code prior to hearing,0,0,0,0,0,0,0,0,41.79114165,-87.72628646
11BT00978A,11DR292569,07/22/2011,BLDINGS,12/06/2011 1:30:00 AM,5114 S AUSTIN,193110 Insure and secure vacant building. (13-12-125 (a).,"BAC HOME LOANS SERVICING, LP C/O C T CORPORATION SYSTEM, ",City non-suit,0,0,0,0,0,0,0,0,41.79932495,-87.77253592
11BT00978A,11DR292569,07/22/2011,BLDINGS,12/06/2011 1:30:00 AM,5114 S AUSTIN,193110 Insure and secure vacant building. (13-12-125 (a).,"BAC HOME LOANS SERVICING, LP C/O PATRICIA M HOLDEN, ",City non-suit,0,0,0,0,0,0,0,0,41.79932495,-87.77253592
11BT01025A,11NO303480|11NO303480,08/10/2011,BLDINGS,09/20/2011 1:30:00 AM,2247 N LAVERGNE,"193105 Register and secure vacant building. (13-12-125 (a)(1), 13-12-125 (b)(1) ).|193110 Insure and secure vacant building. (13-12-125 (a).","BANK OF AMERICA, NA C/O PATRICIA M HOLDEN, ",Default - Liable by prove-up,8500,0,7125.87,2408.28,42,18116.15,0,17922.42,41.92194185,-87.75092156
11BT01025A,11NO303480|11NO303480,08/10/2011,BLDINGS,09/20/2011 1:30:00 AM,2247 N LAVERGNE,"193105 Register and secure vacant building. (13-12-125 (a)(1), 13-12-125 (b)(1) ).|193110 Insure and secure vacant building. (13-12-125 (a).","DEUTSCHE BANK NATIONAL TRUST CO., ",Default - Liable by prove-up,8500,0,7125.87,2408.28,42,18116.15,0,17922.42,41.92194185,-87.75092156
11BT01210A,11DR307216,02/28/2011,BLDINGS,03/08/2012 10:30:00 AM,3018 E 79TH,193101 Duty to Register Vacant Building ( 13-12-125 (a) ),"FORECLOSURE BUYING GROUP, LLC C/O DONALD J KINDWALD, ",City non-suit,0,0,0,0,0,0,0,0,41.75121295,-87.55089451
11CP00209A,P002161319|P002161320,03/28/2011,POLICE,05/06/2011 11:00:00 AM,7534 S MARYLAND,13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"US BANK, ",City non-suit,0,0,0,0,0,0,0,0,41.75751945,-87.60441844
