ADDRESS,FIRST APPROACH,SECOND APPROACH,GO-LIVE DATE,LATITUDE,LONGITUDE,LOCATION,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards
11 E Chicago Ave (Speed Camera),WB,,04/29/2014,41.896652,-87.627837,"{'latitude': '41.896652', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.627837'}",22,21182,37,626,36
6125 N Cicero Ave (Speed Camera),NB,SB,03/17/2014,41.9921194114274,-87.74847678515228,"{'latitude': '41.9921194114274', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.74847678515228'}",28,22532,12,782,38
5454 W Irving Park (Speed Camera),EB,WB,11/10/2013,41.95332954454448,-87.76426726425451,"{'latitude': '41.95332954454448', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.76426726425451'}",25,22618,15,260,19
3534 N Western (Speed Camera),SB,,01/31/2014,41.9459625867886,-87.68838396394528,"{'latitude': '41.9459625867886', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.68838396394528'}",13,21538,46,110,18
8345 S Ashland Ave (Speed Camera),NB,,10/11/2014,41.741741651401504,-87.66307332925098,"{'latitude': '41.741741651401504', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.66307332925098'}",18,21554,70,531,13
7122 S South Chicago Ave (Speed Camera),SEB,,08/20/2018,41.765164,-87.604804,"{'latitude': '41.765164', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.604804'}",32,21546,67,121,33
732 N Pulaski Rd (Speed Camera),NB,SB,03/24/2014,41.89450330881178,-87.72620452246953,"{'latitude': '41.89450330881178', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.72620452246953'}",11,21572,24,99,45
4042 W Roosevelt Rd (Speed Camera),EB,WB,09/09/2014,41.866257378192785,-87.72687882014701,"{'latitude': '41.866257378192785', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.72687882014701'}",36,21572,30,98,14
7739 S Western (Speed Camera),NB,,12/18/2013,41.752629293489285,-87.68276525603093,"{'latitude': '41.752629293489285', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.68276525603093'}",6,21554,69,498,30
8318 S Ashland Ave (Speed Camera),SB,,10/11/2014,41.74247385456547,-87.66338547998558,"{'latitude': '41.74247385456547', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.66338547998558'}",6,21554,70,532,13
2900 W Ogden Ave (Speed Camera),EB,WB,10/17/2013,41.86040786445197,-87.69867209877323,"{'latitude': '41.86040786445197', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.69867209877323'}",36,21569,30,132,14
1638 N Ashland (Speed Camera),SB,,03/03/2014,41.91179204452259,-87.66787045896686,"{'latitude': '41.91179204452259', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.66787045896686'}",24,21560,25,437,40
2417 W 103rd St (Speed Camera),EB,,10/17/2014,41.70626766073214,-87.68239147238012,"{'latitude': '41.70626766073214', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.68239147238012'}",33,4447,71,553,42
5433 S Pulaski (Speed Camera),NB,,02/07/2014,41.79404504596532,-87.72303636259336,"{'latitude': '41.79404504596532', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.72303636259336'}",35,22248,60,792,6
3034 W Foster Ave (Speed Camera),EB,WB,10/05/2013,41.9758840401294,-87.70480112338926,"{'latitude': '41.9758840401294', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.70480112338926'}",46,21849,13,167,24
5739 N Northwest Hwy (Speed Camera),NB,SB,09/09/2014,41.98611938850496,-87.7877408267013,"{'latitude': '41.98611938850496', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.7877408267013'}",34,22243,36,657,29
3809 W Belmont ave  (Speed Camera),EB,,04/08/2014,41.939040255975605,-87.72264591078833,"{'latitude': '41.939040255975605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.72264591078833'}",27,21538,22,215,21
4433 N Western (Speed Camera),NB,,01/04/2014,41.96231378868856,-87.68856455418805,"{'latitude': '41.96231378868856', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.68856455418805'}",13,21849,6,667,18
4429 N Broadway (Speed Camera),,NB,11/23/2013,41.962596548691735,-87.65551767517252,"{'latitude': '41.962596548691735', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.65551767517252'}",37,22616,31,241,39
536 E Morgan Dr (Speed Camera),EB,WB,12/06/2013,41.793492645896656,-87.6118759701359,"{'latitude': '41.793492645896656', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.6118759701359'}",53,22260,7,401,4
324 E Illinois St (Speed Camera),EB,,04/14/2014,41.89091009572781,-87.61934752145963,"{'latitude': '41.89091009572781', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.61934752145963'}",22,21182,37,159,36
2329 Division (Speed Camera),EB,WB,02/24/2014,41.90292940885378,-87.68576187971952,"{'latitude': '41.90292940885378', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.68576187971952'}",24,21560,25,541,41
7518 S Vincennes (Speed Camera),NB,SB,02/17/2014,41.75749703994495,-87.63183332832696,"{'latitude': '41.75749703994495', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.63183332832696'}",17,21554,67,495,32
7738 S Western (Speed Camera),SB,,12/18/2013,41.75271909284453,-87.68306095859297,"{'latitude': '41.75271909284453', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.68306095859297'}",6,4300,69,498,30
4436 N Western (Speed Camera),SB,,01/04/2014,41.9624218495406,-87.68886227502836,"{'latitude': '41.9624218495406', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.68886227502836'}",13,21849,6,621,18
5030 S Pulaski (Speed Camera),SB,,01/31/2014,41.80140191299459,-87.72354459803559,"{'latitude': '41.80140191299459', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.72354459803559'}",49,22248,54,697,8
5432 W Lawrence (Speed Camera),EB,WB,02/14/2014,41.96785573012919,-87.76392864369929,"{'latitude': '41.96785573012919', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.76392864369929'}",20,21869,11,129,50
5440 W Grand (Speed Camera),EB,WB,12/12/2013,41.91823126606235,-87.7623370579504,"{'latitude': '41.91823126606235', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.7623370579504'}",4,22615,19,307,44
1334 W Garfield Blvd (Speed Camera),WB,,03/24/2014,41.79422646635146,-87.65870999891658,"{'latitude': '41.79422646635146', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.65870999891658'}",19,14924,59,790,4
215 E 63rd St (Speed Camera),EB,WB,09/24/2014,41.78005698693417,-87.6197547203603,"{'latitude': '41.78005698693417', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.6197547203603'}",53,22260,67,122,4
5509 W Fullerton (Speed Camera),EB,,12/12/2013,41.92389747217995,-87.76390557836874,"{'latitude': '41.92389747217995', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.76390557836874'}",4,22615,19,307,44
1754 N Pulaski Rd (Speed Camera),SB,NB,11/09/2015,41.91337483050126,-87.72658859994081,"{'latitude': '41.91337483050126', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.72658859994081'}",27,22615,24,285,49
5816 W Jackson (Speed Camera),EB,WB,11/06/2013,41.87718940463045,-87.7703695017756,"{'latitude': '41.87718940463045', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.7703695017756'}",52,22216,26,67,7
5330 Cottage Grove (Speed Camera),NB,SB,10/05/2013,41.79770388561477,-87.60644477865196,"{'latitude': '41.79770388561477', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'longitude': '-87.60644477865196'}",1,22260,7,401,10
